birth_id,linkage_cluster_id,b_gt_cluster_id
B_1874_000006,b-linkage-bundle-000001,b-gt-bundle-000001
B_1877_000007,b-linkage-bundle-000001,b-gt-bundle-000001
B_1872_000014,b-linkage-bundle-000002,b-gt-bundle-000002
B_1873_000088,b-linkage-bundle-000013,b-gt-bundle-000026
B_1876_000089,b-linkage-bundle-000013,b-gt-bundle-000026
B_1874_000143,b-linkage-bundle-000024,b-gt-bundle-000045
B_1873_000168,b-linkage-bundle-000029,b-gt-bundle-000053
B_1877_000170,b-linkage-bundle-000029,b-gt-bundle-000053
B_1872_000270,b-linkage-bundle-000038,b-gt-bundle-000087
B_1874_000272,b-linkage-bundle-000038,b-gt-bundle-000087
B_1876_000273,b-linkage-bundle-000038,b-gt-bundle-000087
B_1878_000274,b-linkage-bundle-000038,b-gt-bundle-000087
B_1881_000275,b-linkage-bundle-000038,b-gt-bundle-000087
B_1872_000442,b-linkage-bundle-000059,b-gt-bundle-000136
B_1872_000608,b-linkage-bundle-000082,b-gt-bundle-000191
B_1872_000668,b-linkage-bundle-000087,b-gt-bundle-000214
B_1876_000669,b-linkage-bundle-000087,b-gt-bundle-000214
B_1872_008071,b-linkage-bundle-000088,b-gt-bundle-000217
B_1877_008072,b-linkage-bundle-000088,b-gt-bundle-000217
B_1872_000738,b-linkage-bundle-000095,b-gt-bundle-000232
B_1876_001249,b-linkage-bundle-000172,b-gt-bundle-000410
B_1878_001250,b-linkage-bundle-000172,b-gt-bundle-000410
B_1880_001251,b-linkage-bundle-000172,b-gt-bundle-000410
B_1872_001375,b-linkage-bundle-000191,b-gt-bundle-000454
B_1872_001396,b-linkage-bundle-000194,b-gt-bundle-000460
B_1872_001508,b-linkage-bundle-000207,b-gt-bundle-000491
B_1874_001509,b-linkage-bundle-000207,b-gt-bundle-000491
B_1875_001510,b-linkage-bundle-000207,b-gt-bundle-000491
B_1877_001511,b-linkage-bundle-000207,b-gt-bundle-000491
B_1880_001512,b-linkage-bundle-000207,b-gt-bundle-000491
B_1871_001596,b-linkage-bundle-000220,b-gt-bundle-000520
B_1873_001654,b-linkage-bundle-000226,b-gt-bundle-000535
B_1877_001655,b-linkage-bundle-000226,b-gt-bundle-000535
B_1874_008515,b-linkage-bundle-000230,b-gt-bundle-000541
B_1871_001709,b-linkage-bundle-000238,b-gt-bundle-000558
B_1871_001756,b-linkage-bundle-000247,b-gt-bundle-000577
B_1875_001757,b-linkage-bundle-000247,b-gt-bundle-000577
