birth_id,census_id
B_1861_000001,C_1881_000618
B_1861_000020,C_1881_000584
B_1861_000044,C_1881_000364
B_1861_000068,C_1881_000342
B_1861_000074,C_1881_000189
B_1861_000090,C_1881_000080
B_1861_000118,C_1881_000355
B_1862_003046,C_1881_000185
B_1862_003066,C_1881_003222
B_1862_002983,C_1881_000720
B_1862_002992,C_1881_000696
B_1862_002999,C_1881_002909
B_1862_003005,C_1881_000049
B_1862_003030,C_1881_000672
B_1862_003034,C_1881_000888
B_1862_003037,C_1881_000393
B_1862_000504,C_1881_000436
B_1862_002940,C_1881_000633
B_1863_006016,C_1881_000015
B_1863_006026,C_1881_000594
B_1863_000002,C_1881_000619
B_1863_000075,C_1881_000190
B_1863_000069,C_1881_000343
B_1863_005972,C_1881_000164
B_1863_005975,C_1881_000649
B_1863_005985,C_1881_000750
B_1863_000119,C_1881_000356
B_1863_005993,C_1881_000109
B_1863_005994,C_1881_000480
B_1863_005999,C_1881_000776
B_1864_007809,C_1881_000704
B_1864_000124,C_1881_013090
B_1864_006027,C_1881_003149
B_1864_007837,C_1881_000250
B_1864_000091,C_1881_000081
B_1864_007853,C_1881_000858
B_1864_003057,C_1881_000103
B_1864_000046,C_1881_000380
B_1864_000047,C_1881_000381
B_1864_000083,C_1881_000662
B_1864_003035,C_1881_000889
B_1864_003036,C_1881_000890
B_1864_000103,C_1881_000179
B_1864_003067,C_1881_003223
B_1864_002984,C_1881_000721
B_1864_005976,C_1881_000820
B_1864_003048,C_1881_000186
B_1864_003019,C_1881_000197
B_1865_002941,C_1881_000634
B_1865_000003,C_1881_000620
B_1865_003031,C_1881_000454
B_1865_003076,C_1881_000146
B_1864_005948,C_1881_000825
B_1865_003039,C_1881_000394
B_1865_009042,C_1881_001477
B_1865_005977,C_1881_000650
B_1865_009051,C_1881_014753
B_1865_007810,C_1881_000705
B_1865_003053,C_1881_000044
B_1866_009865,C_1881_000919
B_1866_003025,C_1881_000611
B_1866_007828,C_1881_000645
B_1866_000506,C_1881_000209
B_1866_003058,C_1881_000104
B_1866_009863,C_1881_005431
B_1866_002985,C_1881_000722
B_1866_000024,C_1881_000513
B_1866_000049,C_1881_000382
B_1866_006000,C_1881_000777
B_1866_000141,C_1881_000483
B_1866_007791,C_1881_000501
B_1866_003068,C_1881_003224
B_1866_005211,C_1881_002209
B_1866_000084,C_1881_000663
B_1867_010668,C_1881_000416
B_1867_003077,C_1881_000145
B_1867_009043,C_1881_001478
B_1867_007772,C_1881_000675
B_1867_007816,C_1881_000920
B_1867_003026,C_1881_000612
B_1867_000004,C_1881_000799
B_1867_003032,C_1881_000455
B_1867_000507,C_1881_000210
B_1867_004944,C_1881_003308
B_1868_002995,C_1881_000339
B_1868_007854,C_1881_000859
B_1868_007811,C_1881_000706
B_1868_006028,C_1881_000595
B_1868_000126,C_1881_013092
B_1868_000120,C_1881_000357
B_1868_010669,C_1881_000417
B_1868_003040,C_1881_000395
B_1868_000025,C_1881_000514
B_1868_005212,C_1881_002210
B_1868_002942,C_1881_000635
B_1868_009875,C_1881_000089
B_1868_000093,C_1881_000082
B_1868_007392,C_1881_006504
B_1868_007792,C_1881_000484
B_1868_005986,C_1881_000751
B_1868_003069,C_1881_003225
B_1868_000085,C_1881_000664
B_1868_003054,C_1881_000046
B_1869_002986,C_1881_000723
B_1869_011716,C_1881_014269
B_1869_003027,C_1881_000613
B_1869_009044,C_1881_001479
B_1869_011709,C_1881_000917
B_1869_000026,C_1881_000515
B_1869_011711,C_1881_000537
B_1869_000121,C_1881_000358
B_1869_003059,C_1881_000105
B_1869_000086,C_1881_000665
B_1869_000508,C_1881_000211
B_1870_010670,C_1881_000418
B_1870_012167,C_1881_000269
B_1870_000005,C_1881_000621
B_1870_007812,C_1881_000707
B_1870_005949,C_1881_000442
B_1870_006035,C_1881_000561
B_1870_007774,C_1881_000676
B_1870_007793,C_1881_000502
B_1870_000127,C_1881_013093
B_1870_003033,C_1881_000456
B_1870_000142,C_1881_000485
B_1870_007855,C_1881_000860
B_1870_012164,C_1881_000549
B_1871_000027,C_1881_000516
B_1871_002987,C_1881_000724
B_1871_003079,C_1881_000147
B_1871_009876,C_1881_000090
B_1871_012653,C_1881_000388
B_1871_012655,C_1881_013094
B_1871_003021,C_1881_000198
B_1871_011712,C_1881_000538
B_1871_012660,C_1881_000525
B_1871_003041,C_1881_000396
B_1871_007818,C_1881_000921
B_1871_010678,C_1881_000834
B_1871_006036,C_1881_000562
B_1871_006029,C_1881_000596
B_1871_000094,C_1881_000083
B_1872_013115,C_1881_000020
B_1872_005980,C_1881_000651
B_1872_000021,C_1881_000180
B_1872_007775,C_1881_000677
B_1872_000014,C_1881_005819
B_1872_012168,C_1881_000270
B_1872_010671,C_1881_000419
B_1872_005970,C_1881_000774
B_1872_005987,C_1881_000752
B_1872_011241,C_1881_000658
B_1872_007794,C_1881_000503
B_1872_000510,C_1881_000212
B_1872_007393,C_1881_006505
B_1873_003028,C_1881_000614
B_1873_007813,C_1881_000708
B_1873_002944,C_1881_000636
B_1873_012661,C_1881_000526
B_1873_003022,C_1881_000199
B_1873_005981,C_1881_000181
B_1873_006037,C_1881_000563
B_1873_000088,C_1881_000666
B_1873_006012,C_1881_000473
B_1873_013462,C_1881_000517
B_1873_000028,C_1881_000569
B_1873_013466,C_1881_003056
B_1873_002971,C_1881_000121
B_1873_007819,C_1881_000922
B_1873_007856,C_1881_000861
B_1873_013471,C_1881_000266
B_1874_007869,C_1881_000374
B_1874_012169,C_1881_000271
B_1874_002988,C_1881_000725
B_1874_007795,C_1881_000504
B_1874_000143,C_1881_000486
B_1874_010672,C_1881_000420
B_1874_000006,C_1881_000622
B_1874_000051,C_1881_000383
B_1874_000511,C_1881_000213
B_1874_005541,C_1881_000317
B_1875_013472,C_1881_000323
B_1875_005950,C_1881_000443
B_1875_013463,C_1881_000518
B_1875_006038,C_1881_000564
B_1875_003042,C_1881_000397
B_1875_002945,C_1881_000637
B_1875_000029,C_1881_000570
B_1875_005982,C_1881_000182
B_1875_009045,C_1881_000021
B_1875_014200,C_1881_010393
B_1876_000089,C_1881_000667
B_1876_007796,C_1881_000505
B_1876_002989,C_1881_000726
B_1876_014210,C_1881_000346
B_1876_007820,C_1881_000923
B_1876_010673,C_1881_000421
B_1876_003637,C_1881_000008
B_1876_002972,C_1881_000122
B_1876_014485,C_1881_000946
B_1876_012170,C_1881_000272
B_1876_000030,C_1881_000519
B_1877_014821,C_1881_001161
B_1877_004946,C_1881_000028
B_1877_014824,C_1881_000785
B_1877_014836,C_1881_000734
B_1877_007870,C_1881_000375
B_1877_006039,C_1881_000603
B_1877_009872,C_1881_000766
B_1877_007777,C_1881_000851
B_1877_005983,C_1881_000183
B_1877_010679,C_1881_000767
B_1877_009046,C_1881_000022
B_1877_006019,C_1881_000427
B_1877_000078,C_1881_000699
B_1877_007814,C_1881_000709
B_1877_000007,C_1881_000623
B_1877_013849,C_1881_000908
B_1878_000031,C_1881_000571
B_1878_007797,C_1881_000506
B_1878_005973,C_1881_000450
B_1878_002946,C_1881_000640
B_1878_015136,C_1881_000114
B_1878_002973,C_1881_000123
B_1878_015122,C_1881_000812
B_1878_015127,C_1881_000772
