birth_id,census_id
B_1861_000068,C_1901_000358
B_1862_002983,C_1901_000456
B_1862_003034,C_1901_000484
B_1863_000075,C_1901_000150
B_1863_000069,C_1901_000357
B_1864_000091,C_1901_000065
B_1864_003036,C_1901_000486
B_1865_005977,C_1901_000793
B_1865_003053,C_1901_000111
B_1866_003025,C_1901_000749
B_1866_002985,C_1901_000457
B_1866_000141,C_1901_000834
B_1866_003068,C_1901_001464
B_1867_003026,C_1901_000750
B_1867_000004,C_1901_000791
B_1868_006028,C_1901_000764
B_1868_009875,C_1901_000162
B_1868_000085,C_1901_000585
B_1869_000026,C_1901_000852
B_1871_002987,C_1901_000458
B_1871_011712,C_1901_000733
B_1871_006029,C_1901_000766
B_1872_000021,C_1901_000153
B_1873_003028,C_1901_000751
B_1873_012661,C_1901_000860
B_1873_003022,C_1901_000181
B_1873_005981,C_1901_000154
B_1873_006037,C_1901_000669
B_1873_013462,C_1901_000853
B_1873_002971,C_1901_000138
B_1873_013471,C_1901_000271
B_1874_012169,C_1901_000274
B_1874_002988,C_1901_000459
B_1874_000051,C_1901_000015
B_1875_013472,C_1901_000914
B_1875_013463,C_1901_000854
B_1875_003042,C_1901_000531
B_1875_005982,C_1901_000155
B_1876_014210,C_1901_000362
B_1876_003637,C_1901_006341
B_1876_000030,C_1901_000855
B_1877_006039,C_1901_000671
B_1877_007857,C_1901_000583
B_1877_007814,C_1901_000466
B_1878_002973,C_1901_000139
B_1878_002990,C_1901_011804
B_1879_009055,C_1901_000078
B_1879_005957,C_1901_000165
B_1879_014837,C_1901_000387
B_1879_012171,C_1901_000275
B_1879_015424,C_1901_000780
B_1880_013465,C_1901_000856
B_1880_003640,C_1901_006360
B_1880_002991,C_1901_000460
B_1880_009056,C_1901_000079
B_1881_015133,C_1901_000377
B_1881_015857,C_1901_000650
B_1881_007799,C_1901_000841
B_1881_005962,C_1901_000289
B_1882_007848,C_1901_000294
B_1882_009057,C_1901_000080
B_1882_015699,C_1901_000832
B_1882_000033,C_1901_000857
B_1882_012172,C_1901_000277
B_1882_015138,C_1901_000108
B_1882_013468,C_1901_000757
B_1882_000080,C_1901_000474
B_1882_016068,C_1901_000293
B_1882_010680,C_1901_000025
B_1882_015430,C_1901_000597
B_1882_015413,C_1901_000593
B_1883_003061,C_1901_000316
B_1883_016282,C_1901_000066
B_1883_007800,C_1901_000842
B_1883_009058,C_1901_000081
B_1883_002974,C_1901_000140
B_1883_002948,C_1901_000609
B_1884_015134,C_1901_000378
B_1884_007850,C_1901_000281
B_1884_000034,C_1901_000858
B_1884_015700,C_1901_000833
B_1885_013118,C_1901_000373
B_1885_006015,C_1901_007441
B_1885_007836,C_1901_000741
B_1885_015419,C_1901_000805
B_1885_009059,C_1901_000082
B_1885_000039,C_1901_000117
B_1885_011249,C_1901_000843
B_1885_013330,C_1901_000681
B_1885_015858,C_1901_000578
B_1885_003080,C_1901_000554
B_1885_016552,C_1901_007660
B_1885_013458,C_1901_011436
B_1885_000115,C_1901_000192
B_1886_016681,C_1901_000099
B_1886_003043,C_1901_006512
B_1886_009869,C_1901_000567
B_1886_016283,C_1901_000071
B_1886_006023,C_1901_001882
B_1886_000040,C_1901_000118
B_1886_012862,C_1901_002147
B_1886_016677,C_1901_000539
B_1886_009060,C_1901_000083
B_1886_016683,C_1901_000434
B_1886_013469,C_1901_000758
B_1887_016779,C_1901_000448
B_1887_002975,C_1901_000019
B_1887_012654,C_1901_000467
B_1887_012658,C_1901_000767
B_1887_000116,C_1901_000193
B_1887_016553,C_1901_007661
B_1887_013119,C_1901_000374
B_1887_016772,C_1901_000398
B_1887_016776,C_1901_001459
B_1887_007859,C_1901_000124
B_1887_005971,C_1901_000330
B_1887_016557,C_1901_000185
B_1887_007802,C_1901_000392
B_1887_015128,C_1901_000785
B_1888_012863,C_1901_002148
B_1888_013331,C_1901_000682
B_1888_003070,C_1901_000313
B_1888_003081,C_1901_000555
B_1888_016902,C_1901_012246
B_1888_015420,C_1901_000607
B_1888_016903,C_1901_000222
B_1888_016684,C_1901_000435
B_1888_006024,C_1901_001883
B_1888_002976,C_1901_000020
B_1888_016773,C_1901_000399
B_1889_016682,C_1901_000100
B_1889_000097,C_1901_000143
B_1889_015626,C_1901_008981
B_1889_007824,C_1901_000369
B_1889_007860,C_1901_000125
B_1889_000041,C_1901_000119
B_1889_013332,C_1901_000683
B_1889_016678,C_1901_000540
B_1889_009870,C_1901_000568
B_1889_009061,C_1901_000084
B_1889_016558,C_1901_000186
B_1889_016780,C_1901_000449
B_1889_012864,C_1901_002149
B_1889_015140,C_1901_000109
B_1889_016904,C_1901_000223
B_1889_000136,C_1901_000007
B_1889_016985,C_1901_000206
B_1889_006045,C_1901_000673
B_1890_007803,C_1901_000393
B_1890_015129,C_1901_000786
B_1890_006025,C_1901_001884
B_1890_002949,C_1901_000610
B_1890_016685,C_1901_000436
B_1890_016774,C_1901_000400
B_1890_016071,C_1901_000264
B_1890_007852,C_1901_000283
B_1890_000098,C_1901_000144
B_1890_003063,C_1901_000318
B_1890_007861,C_1901_000126
B_1890_005940,C_1901_000547
B_1890_006046,C_1901_000385
B_1890_016554,C_1901_007662
B_1890_015421,C_1901_000404
B_1891_002977,C_1901_000021
B_1891_016674,C_1901_000228
B_1891_016286,C_1901_000067
B_1891_016559,C_1901_000187
B_1891_009062,C_1901_000085
B_1891_016986,C_1901_000207
B_1891_000042,C_1901_000120
B_1891_015627,C_1901_000697
B_1891_016686,C_1901_000437
B_1891_014817,C_1901_000470
B_1892_004947,C_1901_014591
B_1892_000137,C_1901_000008
B_1892_016781,C_1901_000450
B_1892_017188,C_1901_000770
B_1892_012866,C_1901_002150
B_1892_011785,C_1901_000348
B_1892_005966,C_1901_000290
B_1892_016072,C_1901_000265
B_1892_000099,C_1901_000145
B_1892_016987,C_1901_000208
B_1892_009547,C_1901_012237
B_1892_016287,C_1901_000072
B_1892_007825,C_1901_000370
B_1892_007862,C_1901_000127
B_1892_009063,C_1901_000086
B_1893_015130,C_1901_000413
B_1893_006608,C_1901_000159
B_1893_016906,C_1901_000224
B_1893_002978,C_1901_000022
B_1893_015801,C_1901_000781
B_1893_017249,C_1901_000174
B_1893_015628,C_1901_000699
B_1893_011786,C_1901_000349
B_1893_007804,C_1901_000394
B_1893_005942,C_1901_000548
B_1893_003009,C_1901_000234
B_1893_016560,C_1901_000188
B_1893_017245,C_1901_000047
B_1893_016687,C_1901_000438
B_1893_017189,C_1901_000771
B_1893_012867,C_1901_002151
B_1894_003071,C_1901_000194
B_1894_016288,C_1901_000073
B_1894_017314,C_1901_000463
B_1894_017316,C_1901_000490
B_1894_000043,C_1901_000134
B_1894_014818,C_1901_000471
B_1894_017250,C_1901_000175
B_1894_016889,C_1901_000200
B_1894_016782,C_1901_000451
B_1894_007829,C_1901_000812
B_1894_005988,C_1901_000848
B_1894_016073,C_1901_000266
B_1894_009064,C_1901_000087
B_1894_007863,C_1901_000128
B_1894_007826,C_1901_000371
B_1894_000138,C_1901_000009
B_1895_017190,C_1901_000772
B_1895_016907,C_1901_000225
B_1895_016688,C_1901_000439
B_1895_000100,C_1901_000146
B_1895_015629,C_1901_000698
B_1895_005943,C_1901_000549
B_1895_017317,C_1901_000491
B_1895_016561,C_1901_000189
B_1895_016679,C_1901_000542
B_1895_011983,C_1901_000218
B_1895_014696,C_1901_000040
B_1895_007805,C_1901_000395
B_1896_002979,C_1901_000023
B_1896_009065,C_1901_000088
B_1896_005967,C_1901_000291
B_1896_004948,C_1901_014592
B_1896_016783,C_1901_000452
B_1896_017315,C_1901_000464
B_1896_016890,C_1901_000201
B_1896_016689,C_1901_000440
B_1896_005989,C_1901_000849
B_1896_014819,C_1901_000454
B_1896_003065,C_1901_000319
B_1897_016074,C_1901_000267
B_1897_017251,C_1901_000176
B_1897_017247,C_1901_000048
B_1897_005944,C_1901_000550
B_1897_013470,C_1901_000759
B_1897_009066,C_1901_000089
B_1897_017191,C_1901_000773
B_1897_014697,C_1901_000041
B_1897_003044,C_1901_004768
B_1897_009840,C_1901_000298
B_1897_017488,C_1901_000672
B_1898_011788,C_1901_000350
B_1898_016891,C_1901_000202
B_1898_005968,C_1901_000292
B_1898_002980,C_1901_000024
B_1898_007830,C_1901_000813
B_1898_015802,C_1901_000782
B_1898_007865,C_1901_000422
B_1898_016690,C_1901_000441
B_1898_007872,C_1901_000717
B_1898_014698,C_1901_000687
B_1898_017318,C_1901_000492
B_1898_005959,C_1901_000803
B_1898_017525,C_1901_000626
B_1898_017427,C_1901_000589
