birth_id,census_id
B_1861_000139,C_1871_000556
B_1861_000145,C_1871_000570
B_1861_000001,C_1871_000622
B_1861_000020,C_1871_000713
B_1861_000035,C_1871_000973
B_1861_000044,C_1871_000426
B_1861_000055,C_1871_000606
B_1861_000068,C_1871_000395
B_1861_000074,C_1871_000180
B_1861_000082,C_1871_000760
B_1861_000090,C_1871_000091
B_1861_000109,C_1871_000162
B_1861_000118,C_1871_000408
B_1861_000123,C_1871_000725
B_1861_000129,C_1871_000970
B_1862_003023,C_1871_000671
B_1862_003046,C_1871_000187
B_1862_003052,C_1871_000055
B_1862_003056,C_1871_000631
B_1862_003066,C_1871_008367
B_1862_003074,C_1871_000217
B_1862_002983,C_1871_000853
B_1862_002992,C_1871_000816
B_1862_002999,C_1871_005273
B_1862_003005,C_1871_000049
B_1862_003012,C_1871_000250
B_1862_003018,C_1871_000153
B_1862_003030,C_1871_000516
B_1862_003034,C_1871_001039
B_1862_003037,C_1871_000460
B_1862_000504,C_1871_000124
B_1862_002940,C_1871_000801
B_1863_000045,C_1871_000134
B_1863_006011,C_1871_000317
B_1863_006016,C_1871_000025
B_1863_006026,C_1871_000691
B_1863_006031,C_1871_001048
B_1863_005932,C_1871_001105
B_1863_000002,C_1871_000888
B_1863_000140,C_1871_000557
B_1863_000009,C_1871_000197
B_1863_005951,C_1871_000607
B_1863_000075,C_1871_000181
B_1863_000069,C_1871_000396
B_1863_005972,C_1871_000211
B_1863_005975,C_1871_000735
B_1863_005985,C_1871_000916
B_1863_000119,C_1871_000409
B_1863_005991,C_1871_015504
B_1863_005993,C_1871_000258
B_1863_005994,C_1871_000549
B_1863_005997,C_1871_000032
B_1863_003038,C_1871_000391
B_1863_005999,C_1871_000923
B_1864_007809,C_1871_000784
B_1864_000124,C_1871_000726
B_1864_006027,C_1871_003054
B_1864_007837,C_1871_000074
B_1864_000091,C_1871_000090
B_1864_007853,C_1871_001004
B_1864_000505,C_1871_000125
B_1864_007770,C_1871_000828
B_1864_003057,C_1871_000632
B_1864_000046,C_1871_000427
B_1864_000047,C_1871_000428
B_1864_000083,C_1871_000761
B_1864_003024,C_1871_000672
B_1864_000103,C_1871_000097
B_1864_003067,C_1871_008368
B_1864_002984,C_1871_000856
B_1864_005976,C_1871_001099
B_1864_003048,C_1871_000188
B_1864_007823,C_1871_000825
B_1864_005933,C_1871_001106
B_1864_003019,C_1871_000154
B_1865_002941,C_1871_000799
B_1865_000003,C_1871_000623
B_1865_003031,C_1871_000517
B_1865_003076,C_1871_000218
B_1865_009036,C_1871_016969
B_1864_005948,C_1871_001085
B_1865_003039,C_1871_000461
B_1865_009042,C_1871_005322
B_1865_005977,C_1871_000736
B_1865_009051,C_1871_000392
B_1865_005953,C_1871_000608
B_1865_006032,C_1871_001049
B_1865_007810,C_1871_000782
B_1865_003053,C_1871_000056
B_1865_000125,C_1871_000727
B_1866_009865,C_1871_001068
B_1866_007771,C_1871_000829
B_1866_003025,C_1871_000673
B_1866_007828,C_1871_000744
B_1866_000506,C_1871_000126
B_1866_009874,C_1871_000238
B_1866_008032,C_1871_000079
B_1866_003014,C_1871_000251
B_1866_003058,C_1871_000633
B_1866_009863,C_1871_000229
B_1866_000011,C_1871_000198
B_1866_002985,C_1871_000857
B_1866_000024,C_1871_000588
B_1866_000049,C_1871_000429
B_1866_006000,C_1871_000924
B_1866_005935,C_1871_001107
B_1866_000141,C_1871_000558
B_1866_007791,C_1871_000575
B_1866_003068,C_1871_008369
B_1866_005211,C_1871_015287
B_1866_003049,C_1871_000189
B_1866_000084,C_1871_000762
B_1867_010664,C_1871_003205
B_1867_010668,C_1871_000480
B_1867_010681,C_1871_000007
B_1867_003077,C_1871_000219
B_1867_009043,C_1871_005323
B_1867_007772,C_1871_000830
B_1867_006033,C_1871_001050
B_1867_007816,C_1871_001069
B_1867_003026,C_1871_000674
B_1867_000004,C_1871_000624
B_1867_003032,C_1871_000518
B_1867_003020,C_1871_000155
B_1867_000507,C_1871_000127
B_1867_004944,C_1871_000268
B_1868_002995,C_1871_000382
B_1868_007854,C_1871_001005
B_1868_007811,C_1871_000785
B_1868_006028,C_1871_000692
B_1868_000126,C_1871_000728
