census_id,c_gt_cluster_id
C_1901_000003,c-gt-bundle-000001
C_1901_000004,c-gt-bundle-000001
C_1901_000005,c-gt-bundle-000001
C_1901_000006,c-gt-bundle-000001
C_1901_000007,c-gt-bundle-000001
C_1901_000008,c-gt-bundle-000001
C_1901_000009,c-gt-bundle-000001
C_1901_000013,c-gt-bundle-000002
C_1901_000014,c-gt-bundle-000002
C_1901_000015,c-gt-bundle-000002
C_1901_000016,c-gt-bundle-000003
C_1901_000019,c-gt-bundle-000004
C_1901_000020,c-gt-bundle-000004
C_1901_000021,c-gt-bundle-000004
C_1901_000022,c-gt-bundle-000004
C_1901_000023,c-gt-bundle-000004
C_1901_000024,c-gt-bundle-000004
C_1901_000033,c-gt-bundle-000005
C_1901_000034,c-gt-bundle-000005
C_1901_000036,c-gt-bundle-000006
C_1901_000037,c-gt-bundle-000007
C_1901_000040,c-gt-bundle-000008
C_1901_000041,c-gt-bundle-000008
C_1901_000045,c-gt-bundle-000009
C_1901_000046,c-gt-bundle-000009
C_1901_000047,c-gt-bundle-000009
C_1901_000048,c-gt-bundle-000009
C_1901_000054,c-gt-bundle-000010
C_1901_000055,c-gt-bundle-000010
C_1901_000056,c-gt-bundle-000010
C_1901_000057,c-gt-bundle-000010
C_1901_000058,c-gt-bundle-000010
C_1901_000059,c-gt-bundle-000010
C_1901_000060,c-gt-bundle-000010
C_1901_000061,c-gt-bundle-000010
C_1901_000065,c-gt-bundle-000011
C_1901_000066,c-gt-bundle-000012
C_1901_000067,c-gt-bundle-000012
C_1901_000071,c-gt-bundle-000013
C_1901_000072,c-gt-bundle-000013
C_1901_000073,c-gt-bundle-000013
C_1901_000078,c-gt-bundle-000014
C_1901_000079,c-gt-bundle-000014
C_1901_000080,c-gt-bundle-000014
C_1901_000081,c-gt-bundle-000014
C_1901_000082,c-gt-bundle-000014
C_1901_000083,c-gt-bundle-000014
C_1901_000084,c-gt-bundle-000014
C_1901_000085,c-gt-bundle-000014
C_1901_000086,c-gt-bundle-000014
C_1901_000087,c-gt-bundle-000014
C_1901_000088,c-gt-bundle-000014
C_1901_000089,c-gt-bundle-000014
C_1901_000094,c-gt-bundle-000015
C_1901_000097,c-gt-bundle-000016
C_1901_000098,c-gt-bundle-000016
C_1901_000099,c-gt-bundle-000016
C_1901_000100,c-gt-bundle-000016
C_1901_000106,c-gt-bundle-000017
C_1901_000107,c-gt-bundle-000017
C_1901_000117,c-gt-bundle-000018
C_1901_000118,c-gt-bundle-000018
C_1901_000119,c-gt-bundle-000018
C_1901_000120,c-gt-bundle-000018
C_1901_000123,c-gt-bundle-000019
C_1901_000124,c-gt-bundle-000019
C_1901_000125,c-gt-bundle-000019
C_1901_000126,c-gt-bundle-000019
C_1901_000127,c-gt-bundle-000019
C_1901_000128,c-gt-bundle-000019
C_1901_000130,c-gt-bundle-000020
C_1901_000131,c-gt-bundle-000020
C_1901_000132,c-gt-bundle-000020
C_1901_000133,c-gt-bundle-000020
C_1901_000134,c-gt-bundle-000021
C_1901_000138,c-gt-bundle-000022
C_1901_000139,c-gt-bundle-000022
C_1901_000140,c-gt-bundle-000022
C_1901_000143,c-gt-bundle-000023
C_1901_000144,c-gt-bundle-000023
C_1901_000145,c-gt-bundle-000023
C_1901_000146,c-gt-bundle-000023
C_1901_000153,c-gt-bundle-000024
C_1901_000154,c-gt-bundle-000024
C_1901_000155,c-gt-bundle-000024
C_1901_000156,c-gt-bundle-000025
C_1901_000159,c-gt-bundle-000026
C_1901_000162,c-gt-bundle-000027
C_1901_000165,c-gt-bundle-000028
C_1901_000167,c-gt-bundle-000029
C_1901_000168,c-gt-bundle-000029
C_1901_000174,c-gt-bundle-000030
C_1901_000175,c-gt-bundle-000030
C_1901_000176,c-gt-bundle-000030
C_1901_000177,c-gt-bundle-000030
C_1901_000181,c-gt-bundle-000031
C_1901_000182,c-gt-bundle-000032
C_1901_000185,c-gt-bundle-000033
C_1901_000186,c-gt-bundle-000033
C_1901_000187,c-gt-bundle-000033
C_1901_000188,c-gt-bundle-000033
C_1901_000189,c-gt-bundle-000033
C_1901_000190,c-gt-bundle-000033
C_1901_000192,c-gt-bundle-000034
C_1901_000193,c-gt-bundle-000034
C_1901_000194,c-gt-bundle-000034
C_1901_000199,c-gt-bundle-000035
C_1901_000200,c-gt-bundle-000035
C_1901_000201,c-gt-bundle-000035
C_1901_000202,c-gt-bundle-000035
C_1901_000203,c-gt-bundle-000035
C_1901_000206,c-gt-bundle-000036
C_1901_000207,c-gt-bundle-000036
C_1901_000208,c-gt-bundle-000036
C_1901_000215,c-gt-bundle-000037
C_1901_000216,c-gt-bundle-000038
C_1901_000218,c-gt-bundle-000039
C_1901_000219,c-gt-bundle-000039
C_1901_000222,c-gt-bundle-000040
C_1901_000223,c-gt-bundle-000040
