census_id,c_gt_cluster_id
C_1871_000007,c-gt-bundle-000001
C_1871_000008,c-gt-bundle-000001
C_1871_000009,c-gt-bundle-000001
C_1871_000010,c-gt-bundle-000001
C_1871_000024,c-gt-bundle-000002
C_1871_000025,c-gt-bundle-000002
C_1871_000032,c-gt-bundle-000003
C_1871_000049,c-gt-bundle-000004
C_1871_000055,c-gt-bundle-000005
C_1871_000056,c-gt-bundle-000005
C_1871_000057,c-gt-bundle-000005
C_1871_000074,c-gt-bundle-000006
C_1871_000075,c-gt-bundle-000006
C_1871_000078,c-gt-bundle-000007
C_1871_000079,c-gt-bundle-000007
C_1871_000080,c-gt-bundle-000007
C_1871_000089,c-gt-bundle-000008
C_1871_000090,c-gt-bundle-000008
C_1871_000091,c-gt-bundle-000008
C_1871_000092,c-gt-bundle-000008
C_1871_000097,c-gt-bundle-000009
C_1871_000098,c-gt-bundle-000009
C_1871_000123,c-gt-bundle-000010
C_1871_000124,c-gt-bundle-000010
C_1871_000125,c-gt-bundle-000010
C_1871_000126,c-gt-bundle-000010
C_1871_000127,c-gt-bundle-000010
C_1871_000128,c-gt-bundle-000010
C_1871_000134,c-gt-bundle-000011
C_1871_000153,c-gt-bundle-000012
C_1871_000154,c-gt-bundle-000012
C_1871_000155,c-gt-bundle-000012
C_1871_000162,c-gt-bundle-000013
C_1871_000180,c-gt-bundle-000014
C_1871_000181,c-gt-bundle-000014
C_1871_000187,c-gt-bundle-000015
C_1871_000188,c-gt-bundle-000015
C_1871_000189,c-gt-bundle-000015
C_1871_000190,c-gt-bundle-000015
C_1871_000191,c-gt-bundle-000015
C_1871_000197,c-gt-bundle-000016
C_1871_000198,c-gt-bundle-000016
C_1871_000199,c-gt-bundle-000016
C_1871_000210,c-gt-bundle-000017
C_1871_000211,c-gt-bundle-000017
C_1871_000216,c-gt-bundle-000018
C_1871_000217,c-gt-bundle-000018
C_1871_000218,c-gt-bundle-000018
C_1871_000219,c-gt-bundle-000018
C_1871_000220,c-gt-bundle-000018
C_1871_000228,c-gt-bundle-000019
C_1871_000229,c-gt-bundle-000020
C_1871_000238,c-gt-bundle-000021
C_1871_000239,c-gt-bundle-000021
C_1871_000250,c-gt-bundle-000022
C_1871_000251,c-gt-bundle-000022
C_1871_000252,c-gt-bundle-000022
C_1871_000257,c-gt-bundle-000023
C_1871_000258,c-gt-bundle-000024
C_1871_000262,c-gt-bundle-000025
C_1871_000263,c-gt-bundle-000025
C_1871_000265,c-gt-bundle-000026
C_1871_000266,c-gt-bundle-000026
C_1871_000267,c-gt-bundle-000026
C_1871_000268,c-gt-bundle-000026
C_1871_000303,c-gt-bundle-000027
C_1871_000317,c-gt-bundle-000028
C_1871_000320,c-gt-bundle-000029
C_1871_000327,c-gt-bundle-000030
C_1871_000347,c-gt-bundle-000031
C_1871_000348,c-gt-bundle-000031
C_1871_000349,c-gt-bundle-000031
C_1871_000350,c-gt-bundle-000031
C_1871_000351,c-gt-bundle-000031
C_1871_000381,c-gt-bundle-000032
C_1871_000382,c-gt-bundle-000032
C_1871_000391,c-gt-bundle-000033
C_1871_000392,c-gt-bundle-000033
C_1871_000395,c-gt-bundle-000034
C_1871_000396,c-gt-bundle-000034
C_1871_000408,c-gt-bundle-000035
C_1871_000409,c-gt-bundle-000035
C_1871_000410,c-gt-bundle-000035
C_1871_000411,c-gt-bundle-000035
C_1871_000421,c-gt-bundle-000036
C_1871_000426,c-gt-bundle-000037
C_1871_000427,c-gt-bundle-000037
C_1871_000428,c-gt-bundle-000037
C_1871_000429,c-gt-bundle-000037
C_1871_000460,c-gt-bundle-000038
C_1871_000461,c-gt-bundle-000038
C_1871_000462,c-gt-bundle-000038
C_1871_000470,c-gt-bundle-000039
C_1871_000471,c-gt-bundle-000039
C_1871_000472,c-gt-bundle-000039
C_1871_000473,c-gt-bundle-000039
